seq,time,lat,lng,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1,2020-10-19T20:54:39.436Z,54.6093,-159.6519,31.08,7.6,mww,,36,0.225,0.77,us,us6000c9hg,2020-11-18T17:36:10.457Z,"97 km SSE of Sand Point, Alaska",earthquake,5.1,2.7,0.021,213,reviewed,us,us
2,2020-10-19T21:05:57.335Z,54.4386,-159.6143,22.74,5.7,mb,,135,0.393,0.88,us,us6000c9kb,2020-11-06T02:12:25.682Z,"114 km SSE of Sand Point, Alaska",earthquake,3.9,5.2,0.085,50,reviewed,us,us
3,2020-10-19T21:06:20.397Z,54.5073,-159.729,26.24,5.7,mb,,150,0.334,0.66,us,us6000c9lb,2020-10-26T03:24:03.860Z,"104 km SSE of Sand Point, Alaska",earthquake,6.5,4.6,0.1,36,reviewed,us,us
4,2020-10-19T21:14:14.693Z,54.3415,-159.5688,16.83,5,mb,,93,0.49,1.03,us,us6000cc2q,2020-11-06T02:08:54.040Z,"125 km SSE of Sand Point, Alaska",earthquake,3.9,4.5,0.121,22,reviewed,us,us
5,2020-10-19T21:22:28.672Z,54.3536,-159.8541,22.6,5.2,mb,,127,0.502,0.89,us,us6000c9kj,2020-11-06T02:13:00.992Z,"116 km SSE of Sand Point, Alaska",earthquake,1.5,4.3,0.079,53,reviewed,us,us
6,2020-10-19T21:32:21.891Z,54.3886,-159.8241,26.62,5.5,mb,,116,0.463,0.86,us,us6000c9km,2020-11-06T02:45:34.544Z,"114 km SSE of Sand Point, Alaska",earthquake,3.9,4.5,0.041,208,reviewed,us,us
7,2020-10-19T21:34:38.252Z,54.4563,-159.6198,27.07,5.1,mb,,172,0.376,0.94,us,us6000cc2g,2020-11-06T02:39:55.040Z,"113 km SSE of Sand Point, Alaska",earthquake,2.9,4.6,0.086,44,reviewed,us,us
8,2020-10-19T21:45:25.327Z,54.3371,-159.8425,20.77,5.9,mww,,65,0.516,0.95,us,us6000c9lf,2020-11-06T03:01:40.804Z,"118 km SSE of Sand Point, Alaska",earthquake,5.3,4.2,0.083,14,reviewed,us,us
9,2020-10-20T04:07:05.965Z,54.2607,-159.6234,8.52,5.6,mww,,42,0.571,0.7,us,us6000c9u7,2020-11-11T01:44:26.585Z,"132 km SSE of Sand Point, Alaska",earthquake,5.3,3.1,0.039,64,reviewed,us,us
10,2020-10-20T12:32:12.149Z,54.3624,-159.7745,22,5.1,mww,,64,0.481,0.67,us,us6000ca05,2020-11-17T07:53:26.040Z,"118 km SSE of Sand Point, Alaska",earthquake,5.3,1.9,0.047,43,reviewed,us,us
11,2020-10-20T13:20:02.517Z,17.9617,146.2487,99.63,5.2,mww,,59,2.741,1,us,us6000ca0c,2020-11-17T16:04:25.241Z,"Alamagan region, Northern Mariana Islands",earthquake,4.2,5.3,0.071,19,reviewed,us,us
12,2020-10-20T13:43:17.460Z,64.0134,-22.1508,10,5.6,mww,,25,0.819,0.74,us,us6000ca0k,2020-10-25T18:41:19.093Z,"11 km SW of Álftanes, Iceland",earthquake,5.5,1.8,0.036,73,reviewed,us,us
13,2020-10-20T18:57:50.571Z,-19.372,-173.9881,10,5,mb,,32,3.848,1.01,us,us6000ca8i,2020-11-12T19:57:14.040Z,"62 km NE of Pangai, Tonga",earthquake,7.6,1.8,0.045,165,reviewed,us,us
14,2020-10-21T00:22:33.562Z,-19.3073,-172.4012,10,5.9,mww,,26,2.349,1.08,us,us6000cafc,2020-11-02T02:16:51.715Z,"181 km ESE of Neiafu, Tonga",earthquake,6.5,1.8,0.08,15,reviewed,us,us
15,2020-10-21T01:17:53.037Z,54.2699,-159.618,15.58,5.1,mww,,72,0.562,0.81,us,us6000cag5,2020-11-05T00:40:05.227Z,"131 km SSE of Sand Point, Alaska",earthquake,5,3.5,0.044,50,reviewed,us,us
16,2020-10-21T02:00:26.410Z,-62.3141,-58.3074,12.53,5.1,mww,,71,0.183,0.63,us,us6000cagl,2020-10-28T03:27:30.040Z,South Shetland Islands,earthquake,4.3,3.2,0.083,14,reviewed,us,us
17,2020-10-21T04:04:47.204Z,31.9772,104.2754,10,5.2,mb,,39,4.785,0.75,us,us6000cahl,2020-10-29T00:21:15.992Z,"47 km WNW of Jiangyou, China",earthquake,7,1.8,0.035,264,reviewed,us,us
18,2020-10-21T04:21:07.079Z,-56.1782,-143.5539,10,5.4,mww,,80,27.52,0.52,us,us6000cane,2020-10-22T04:24:29.957Z,Pacific-Antarctic Ridge,earthquake,13,1.9,0.078,16,reviewed,us,us
19,2020-10-21T09:13:06.593Z,-25.5231,-70.9323,20,5.7,mww,,101,0.691,0.64,us,us6000caj9,2020-11-14T12:53:02.887Z,"46 km WSW of Taltal, Chile",earthquake,5.1,1.8,0.053,34,reviewed,us,us
20,2020-10-21T23:00:54.218Z,37.3179,20.5084,8.42,5.1,mww,,25,1.139,0.63,us,us6000cb28,2020-10-30T05:03:38.712Z,"52 km SSW of Lithakiá, Greece",earthquake,6.2,3.6,0.051,37,reviewed,us,us
21,2020-10-22T03:03:39.779Z,31.9148,104.2395,25.56,5.3,mb,,37,4.056,0.57,us,us6000cb4i,2020-10-29T00:20:59.147Z,"48 km WNW of Jiangyou, China",earthquake,6.9,3.2,0.033,304,reviewed,us,us
22,2020-10-22T06:14:24.820Z,-5.5515,149.5514,181.04,5.1,mww,,55,2.932,0.87,us,us6000cb66,2020-10-22T06:54:04.026Z,"64 km W of Kimbe, Papua New Guinea",earthquake,7.2,7.8,0.098,10,reviewed,us,us
23,2020-10-22T08:24:06.992Z,-20.8778,-176.6074,237.63,5.8,mww,,33,5.927,1.23,us,us6000cb8b,2020-10-23T08:27:43.721Z,"148 km WNW of Haveluloto, Tonga",earthquake,8.7,4.2,0.045,48,reviewed,us,us
24,2020-10-22T23:06:32.602Z,52.6958,-34.9841,10,5.1,mww,,48,10.208,0.74,us,us6000cbt3,2020-10-22T23:27:32.040Z,Reykjanes Ridge,earthquake,9.4,1.8,0.098,10,reviewed,us,us
25,2020-10-23T00:33:35.437Z,19.98,-45.8636,10,5.3,mww,,63,15.342,0.78,us,us6000cbtq,2020-10-23T00:52:29.040Z,northern Mid-Atlantic Ridge,earthquake,10.3,1.9,0.071,19,reviewed,us,us
26,2020-10-23T01:46:17.475Z,-36.4011,-97.1352,10,6,mww,,47,13.888,1.41,us,us6000cbug,2020-10-24T01:54:12.956Z,West Chile Rise,earthquake,9.8,1.8,0.078,16,reviewed,us,us
27,2020-10-23T02:19:07.596Z,19.9028,-45.7676,10,5,mb,,124,22.307,1.28,us,us6000cbus,2020-10-23T02:38:58.040Z,northern Mid-Atlantic Ridge,earthquake,13.1,1.9,0.038,222,reviewed,us,us
28,2020-10-23T07:04:30.922Z,-25.64,-179.9572,454,6.1,mww,,23,4.017,0.86,us,us6000cbx8,2020-11-05T06:18:27.971Z,south of the Fiji Islands,earthquake,9.4,2,0.05,38,reviewed,us,us
29,2020-10-23T16:06:13.522Z,-62.1881,-58.2825,10,5,mb,,108,3.663,1.13,us,us6000cc4n,2020-10-23T16:25:41.040Z,South Shetland Islands,earthquake,13,1.9,0.093,37,reviewed,us,us
30,2020-10-23T16:29:55.563Z,-27.5525,-67.3482,136.92,5,mb,,74,2.562,1.03,us,us6000cc6p,2020-10-23T16:47:52.040Z,"27 km NW of Londres, Argentina",earthquake,8.2,7.8,0.137,17,reviewed,us,us
31,2020-10-23T19:00:45.644Z,-14.9856,167.1313,107.85,5.2,mww,,65,0.464,0.88,us,us6000cc9j,2020-11-18T17:32:54.738Z,"8 km NE of Port-Olry, Vanuatu",earthquake,7.7,3.8,0.075,17,reviewed,us,us
32,2020-10-24T10:40:19.467Z,-62.3669,-58.1984,10,5,mww,,76,0.253,0.88,us,us6000cck0,2020-10-24T14:01:23.040Z,South Shetland Islands,earthquake,3.1,1.8,0.073,18,reviewed,us,us
33,2020-10-24T11:34:18.371Z,35.8067,48.9098,10,5,mww,,35,4.066,0.88,us,us6000cckl,2020-10-24T23:54:10.137Z,"46 km SW of Abhar, Iran",earthquake,6.9,1.8,0.098,10,reviewed,us,us
34,2020-10-25T00:56:45.775Z,-7.9933,107.9823,43,5.5,mww,,26,0.621,0.93,us,us6000cctq,2020-11-06T04:33:26.967Z,"72 km SSW of Kawalu, Indonesia",earthquake,6.9,1.8,0.068,21,reviewed,us,us
35,2020-10-25T11:04:46.415Z,-10.2469,161.5813,69.13,5.1,mww,,61,1.799,1.07,us,us6000ccxw,2020-11-12T11:15:33.873Z,"43 km WNW of Kirakira, Solomon Islands",earthquake,7.7,6,0.078,16,reviewed,us,us
36,2020-10-25T11:47:37.744Z,-15.3645,-173.4185,39,5.8,mww,,58,4.667,0.75,us,us6000ccyh,2020-11-12T11:49:39.800Z,"76 km NNE of Hihifo, Tonga",earthquake,8.6,1.9,0.086,13,reviewed,us,us
37,2020-10-25T12:47:59.018Z,14.771,-92.5839,69.22,5.1,mww,,130,0.336,1.06,us,us6000ccys,2020-11-12T12:18:43.538Z,"17 km SW of Buenos Aires, Mexico",earthquake,4.4,4.8,0.047,44,reviewed,us,us
38,2020-10-25T21:17:14.814Z,-20.002,-70.9604,10,5.3,mww,,117,0.885,0.7,us,us6000cd2g,2020-10-27T22:03:55.441Z,"87 km WNW of Iquique, Chile",earthquake,4.4,1.6,0.063,24,reviewed,us,us
39,2020-10-25T23:43:11.001Z,-56.6979,-141.6208,10,5.5,mww,,68,27.414,0.72,us,us6000cd45,2020-10-28T01:56:30.061Z,Pacific-Antarctic Ridge,earthquake,11.2,1.7,0.086,13,reviewed,us,us
40,2020-10-26T02:58:50.550Z,-6.3974,154.2702,10,5,mb,,45,3.033,0.75,us,us6000cd5m,2020-11-03T23:17:42.040Z,"134 km W of Panguna, Papua New Guinea",earthquake,7.7,1.7,0.09,39,reviewed,us,us
41,2020-10-26T08:26:35.784Z,0.5849,121.5429,90.02,5.1,mww,,21,0.923,1.05,us,us6000cd8a,2020-10-27T20:45:31.040Z,"169 km W of Gorontalo, Indonesia",earthquake,6,4.6,0.098,10,reviewed,us,us
42,2020-10-26T21:34:51.206Z,32.1448,56.0268,10,5,mb,,57,5.667,1.18,us,us6000cdjs,2020-11-04T00:19:05.984Z,"84 km NE of Bāfq, Iran",earthquake,4,1.8,0.044,163,reviewed,us,us
43,2020-10-27T19:43:52.668Z,-2.238,119.0945,22,5.4,mww,,18,2.46,1.13,us,us7000c6e1,2020-11-03T14:29:41.578Z,"54 km NNE of Mamuju, Indonesia",earthquake,4.8,1.8,0.065,23,reviewed,us,us
44,2020-10-28T04:13:41.983Z,53.2014,-173.4182,233.22,5.5,mww,,32,1.108,1.04,us,us7000c6l2,2020-11-16T04:23:46.705Z,"123 km NNE of Atka, Alaska",earthquake,6.7,3.8,0.03,104,reviewed,us,us
45,2020-10-28T04:52:32.186Z,-34.8853,-71.7052,57.85,5.5,mww,,44,0.222,0.77,us,us7000c6lj,2020-10-29T04:57:05.071Z,"35 km W of Rauco, Chile",earthquake,2.9,3.4,0.05,39,reviewed,us,us
46,2020-10-28T09:02:32.166Z,-14.9272,-75.6744,10,5.6,mww,,131,3.135,0.79,us,us7000c6p3,2020-10-29T09:06:58.233Z,"56 km WSW of Changuillo, Peru",earthquake,8.2,1.9,0.066,22,reviewed,us,us
47,2020-10-28T09:08:59.793Z,-0.1729,124.4688,41.18,5.3,mww,,24,1.903,1.34,us,us7000c6p7,2020-10-28T09:30:20.040Z,"168 km SSW of Tomohon, Indonesia",earthquake,6.4,4.8,0.098,10,reviewed,us,us
48,2020-10-28T12:02:45.318Z,-62.9473,-157.7534,10,5.3,mww,,146,18.554,0.96,us,us7000c7ka,2020-10-30T14:46:04.040Z,Pacific-Antarctic Ridge,earthquake,16.6,1.9,0.073,18,reviewed,us,us
49,2020-10-28T12:25:21.135Z,-63.5089,-156.5043,10,5.4,mww,,118,18.26,0.53,us,us7000c6qt,2020-10-29T12:31:20.751Z,Pacific-Antarctic Ridge,earthquake,14.9,1.9,0.086,13,reviewed,us,us
50,2020-10-28T14:12:56.275Z,-14.4415,167.3852,178.34,5.8,mww,,53,1.015,0.78,us,us7000c6sn,2020-10-29T14:16:53.312Z,"65 km SSW of Sola, Vanuatu",earthquake,7.7,5,0.061,26,reviewed,us,us
51,2020-10-28T14:53:10.766Z,-29.3296,-71.214,43.8,5.8,mww,,91,0.55,0.71,us,us7000c6u9,2020-10-29T14:58:02.365Z,"63 km N of La Serena, Chile",earthquake,5.4,5.3,0.05,38,reviewed,us,us
52,2020-10-28T15:12:11.258Z,-23.8129,69.2597,10,5,mb,,62,20.788,0.94,us,us7000c6uy,2020-11-04T04:20:15.040Z,Mid-Indian Ridge,earthquake,6.7,1.8,0.075,57,reviewed,us,us
53,2020-10-28T22:00:23.095Z,-62.3222,-58.1832,10,5.4,mww,,66,0.239,0.94,us,us7000c79x,2020-11-07T04:11:06.302Z,South Shetland Islands,earthquake,5.3,1.8,0.065,23,reviewed,us,us
54,2020-10-28T22:08:08.619Z,-29.7688,-111.6326,10,5.2,mb,,44,3.24,0.94,us,us7000c7a6,2020-11-07T05:01:30.040Z,Easter Island region,earthquake,10.5,1.8,0.051,126,reviewed,us,us
55,2020-10-29T07:02:46.825Z,-62.28,-58.1761,10,5.1,mww,,57,0.231,0.95,us,us7000c7dw,2020-10-29T07:24:54.040Z,South Shetland Islands,earthquake,4.3,1.7,0.093,11,reviewed,us,us
56,2020-10-29T07:40:52.224Z,-62.4843,-58.3891,10,5,mb,,99,0.278,0.7,us,us7000c7e8,2020-10-29T08:00:36.040Z,South Shetland Islands,earthquake,8,1.9,0.088,41,reviewed,us,us
57,2020-10-30T02:34:22.067Z,-20.8916,-178.5061,580.1,5.3,mww,,35,4.511,1.01,us,us7000c7tm,2020-10-30T02:51:52.040Z,Fiji region,earthquake,10.7,7.4,0.098,10,reviewed,us,us
58,2020-10-30T04:36:29.522Z,54.5552,-159.662,31.28,5.1,mww,,123,0.279,0.88,us,us7000c7v4,2020-11-12T19:33:22.067Z,"102 km SSE of Sand Point, Alaska",earthquake,6.8,4.1,0.061,26,reviewed,us,us
59,2020-10-30T08:38:41.224Z,10.6444,-43.5468,10,5.9,mww,,39,10.554,0.74,us,us7000c7wh,2020-11-18T08:54:40.448Z,northern Mid-Atlantic Ridge,earthquake,7.9,1.8,0.047,44,reviewed,us,us
60,2020-10-30T10:14:58.937Z,-25.9092,179.3161,515.33,5.3,mb,,52,4.125,0.99,us,us7000c7x8,2020-10-30T10:32:35.040Z,south of the Fiji Islands,earthquake,10,8.1,0.029,406,reviewed,us,us
61,2020-10-30T11:10:09.904Z,-8.8151,161.0729,14.11,5.6,mww,,49,1.272,0.99,us,us7000c7xt,2020-10-31T11:23:44.393Z,"41 km E of Auki, Solomon Islands",earthquake,8.2,4.1,0.093,11,reviewed,us,us
62,2020-10-30T11:51:27.563Z,37.9175,26.7901,21,7,mww,,18,1.505,0.76,us,us7000c7y0,2020-11-17T22:52:57.797Z,"15 km NNE of Néon Karlovásion, Greece",earthquake,4.9,1.8,0.036,75,reviewed,us,us
